ID;Nom;Categorie;Photo;Reference;EstDansCarte;Remarque;Sync_Prix;EstCocktail;Quantite;ID_VERRE;DateCreation;estBrochette;Ref_Lettre;Ref_Chiffre;Ref_DerniereLettre
1502;5 shooters pour aventuriers ;combo;0x;Z1F;1;shooter 3cl;25;1;150;9;;1;Z;1;F
1503;Pénicilline;pharmacocktailerie;0x;C48;1;verre cabernet;12;1;65;5;;1;C;48;
1518;Morcheeba;culturalisation;0x;N55;1;verre palladio/servir directement ;13;1;50;4;;1;N;55;
1519;Foo Fighters;culturalisation;0x;N56;1;verre pyramide/biere retournee ;13;1;200;13;;1;N;56;
1520;Abeillos;tequilaterie;0x;J32;1;verre margarita + sel pimente + bonbon piment ;12;1;35;3;;1;J;32;
1521;potion magique ;mojito party;0x;M55;1;verre tiki gd + facon mojito;13;1;50;6;;1;M;55;
1522;Long yellow island;rhumerie;0x;I34;1;verre v25/13mix z2q(f1)+2cl gin+jarritos;13;1;50;6;;1;I;34;
1523;Long pink island ;rhumerie;0x;I35;1;verre v25/13mix z2q(f1)+2cl gin+jarritos;13;1;50;6;;1;I;35;
1524;Long orange island;rhumerie;0x;I37;1;verre v25/13mix z2q(f1)+2cl gin+jarritos;13;1;50;6;;1;I;37;
1525;Long island a kiki;rhumerie;0x;I71;1;verre v25/13mix z2q(f1)+2cl gin+gingerbeer;13;1;200;13;;1;I;71;
1526;Long dark island ;rhumerie;0x;I72;1;verre v25/13mix z2q(f1)+2cl gin+kola;13;1;50;6;;1;I;72;
1527;Pandor;shootserie en mise en bouche;0x;Z27;1;shoot en verre+a la cuillere delicatement+flamber a table + paille bambou;5;1;5;14;;1;Z;27;
1528;méthamphétamine;drugs;0x;E29;1;verre cooupe a glace ;13;1;50;4;;1;E;29;
1529;VNR;mojito party;0x;M56;1;facon mojito/verre palladio/jager en dernier ;13;1;50;4;;1;M;56;
1530;you are Bugs ;Expressions préférées;0x;P11;1;facon mojito/verre palladio/jager en dernier ;13;1;50;4;;1;P;11;
1531;Bikini Bottom;rhumerie;0x;I73;1;verre palladio ;13;1;50;4;;1;I;73;
